Time (0.2 sec),Price
0,1270
1,1270
2,1270.2
3,1270.2
4,1270.2
5,1270.2
6,1270.2
7,1270.2
8,1270.2
9,1270.2
10,1270.2
11,1270.2
12,1270.2
13,1270.2
14,1270.2
15,1270.2
16,1270.2
17,1270.2
18,1270.2
19,1270.2
20,1270.2
21,1270.2
22,1270.2
23,1270.2
24,1270.2
25,1270.2
26,1270.2
27,1270.2
28,1270.2
29,1270.2
30,1270.2
31,1270.2
32,1270.2
33,1270.2
34,1270.2
35,1270.2
36,1270.2
37,1270.2
38,1270.2
39,1270.2
40,1270.2
41,1270.2
42,1270.2
43,1270.2
44,1270.2
45,1270.2
46,1270.2
47,1270.2
48,1270.2
49,1270.2
50,1270.2
51,1270.2
52,1270.2
53,1270.2
54,1270.2
55,1270.2
56,1270.2
57,1270.2
58,1270.2
59,1270.2
60,1270.2
61,1270.2
62,1270.2
63,1270.2
64,1270.2
65,1270.2
66,1270.2
67,1270.2
68,1270.2
69,1270.2
70,1270.2
71,1270.2
72,1270.2
73,1270.2
74,1270.2
75,1270.2
76,1270.2
77,1270.2
78,1270.2
79,1270.2
80,1270.2
81,1270.2
82,1270.2
83,1270.2
84,1270.2
85,1270.2
86,1270.2
87,1270.2
88,1270.2
89,1270.2
90,1270.2
91,1270.2
92,1270.2
93,1270.2
94,1270.2
95,1270.2
96,1270.2
97,1270.2
98,1270.2
99,1270.2
100,1270.2
101,1270.2
102,1270.2
103,1270.2
104,1270.2
105,1270.2
106,1270.2
107,1270.2
108,1270.2
109,1270.2
110,1270.2
111,1270.2
112,1270.2
113,1270.2
114,1270.2
115,1270.2
116,1270.2
117,1270.2
118,1270
119,1270
120,1270
121,1270.2
122,1270.2
123,1270.2
124,1270.2
125,1270.2
126,1270.2
127,1270.2
128,1270.2
129,1270.2
130,1270.2
131,1270.2
132,1270.2
133,1270.2
134,1270.2
135,1270.2
136,1270.2
137,1270
138,1270
139,1270
140,1270
141,1270.2
142,1270.2
143,1270.2
144,1270.2
145,1270.2
146,1270.2
147,1270.2
148,1270
149,1270
150,1270
151,1270
152,1270.2
153,1270.2
154,1270
155,1270
156,1270
157,1270
158,1270
159,1270
160,1270
161,1270
162,1270
163,1270
164,1270
165,1270
166,1270
167,1270
168,1270
169,1270
170,1270
171,1270
172,1270.2
173,1270.2
174,1270.2
175,1270.2
176,1270.2
177,1270.2
178,1270.2
179,1270.2
180,1270.2
181,1270.2
182,1270.2
183,1270.2
184,1270.2
185,1270.2
186,1270.2
187,1270.2
188,1270.2
189,1270.2
190,1270.2
191,1270.2
192,1270.2
193,1270.2
194,1270.2
195,1270.2
196,1270.2
197,1270.2
198,1270.2
199,1270.2
200,1270.2
201,1270.2
202,1270.2
203,1270.2
204,1270.2
205,1270.2
206,1270.2
207,1270.2
208,1270.2
209,1270.2
210,1270.2
211,1270.2
212,1270.2
213,1270.2
214,1270.2
215,1270.2
216,1270.2
217,1270.2
218,1270.2
219,1270.2
220,1270.2
221,1270.2
222,1270.2
223,1270.2
224,1270.2
225,1270.2
226,1270.2
227,1270.2
228,1270.2
229,1270.2
230,1270.2
231,1270.2
232,1270.2
233,1270.2
234,1270.2
235,1270
236,1270
237,1270
238,1270
239,1270
240,1270
241,1270
242,1270
243,1270
244,1270
245,1270
246,1270
247,1270
248,1270
249,1270
250,1270
251,1270
252,1270
253,1270
254,1270
255,1270
256,1270
257,1270
258,1270
259,1270
260,1270
261,1270
262,1270
263,1270
264,1270
265,1270
266,1270
267,1270
268,1270.2
269,1270.2
270,1270.2
271,1269.8
272,1269.8
273,1269.8
274,1269.8
275,1269.8
276,1269.8
277,1269.8
278,1269.8
279,1269.8
280,1269.8
281,1269.8
282,1269.8
283,1269.8
284,1269.8
285,1269.8
286,1269.8
287,1269.8
288,1269.8
289,1269.8
290,1269.8
291,1269.8
292,1270
293,1270
294,1270
295,1270
296,1270.2
297,1270.2
298,1270.2
299,1270.2
300,1270.2
301,1270.2
302,1270.2
303,1270.2
304,1270.2
305,1270.2
306,1270.2
307,1270.2
308,1270.2
309,1270.2
310,1270.2
311,1270.2
312,1270.2
313,1270.2
314,1270.2
315,1270.2
316,1270.2
317,1270.2
318,1270.2
319,1270.2
320,1270.2
321,1270.2
322,1270.2
323,1270.2
324,1270.2
325,1270.2
326,1270.2
327,1270.2
328,1270.2
329,1269.8
330,1269.8
331,1269.8
332,1269.8
333,1269.8
334,1269.8
335,1269.8
336,1269.8
337,1269.8
338,1269.8
339,1269.8
340,1269.8
341,1269.8
342,1269.8
343,1269.8
344,1269.8
345,1269.8
346,1269.8
347,1269.8
348,1269.8
349,1270.2
350,1270.2
351,1270.2
352,1270.2
353,1270.2
354,1269.8
355,1269.8
356,1269.8
357,1269.8
358,1269.8
359,1269.8
360,1269.8
361,1269.8
362,1269.8
363,1269.8
364,1269.8
365,1269.8
366,1269.8
367,1269.8
368,1269.8
369,1269.8
370,1269.8
371,1269.8
372,1269.8
373,1269.8
374,1269.8
375,1270.2
376,1270.2
377,1270.2
378,1270.2
379,1270.2
380,1270.2
381,1270.2
382,1270.2
383,1270.2
384,1270.2
385,1270.2
386,1270.2
387,1270.2
388,1270.2
389,1270.2
390,1270.2
391,1270.2
392,1270.2
393,1269.8
394,1269.8
395,1269.8
396,1269.8
397,1269.8
398,1269.8
399,1269.8
400,1270.2
401,1270.2
402,1270.2
403,1270.2
404,1270.2
405,1270.2
406,1270.2
407,1270.2
408,1270.2
409,1270.2
410,1270.2
411,1270.2
412,1269.8
413,1269.8
414,1269.8
415,1269.8
416,1270.2
417,1270.2
418,1269.8
419,1269.8
420,1269.8
421,1269.8
422,1269.8
423,1269.8
424,1269.8
425,1269.8
426,1269.8
427,1269.8
428,1270
429,1270
430,1270
431,1270
432,1270
433,1270
434,1270
435,1270
436,1270
437,1270
438,1270
439,1270
440,1270
441,1270
442,1270
443,1270.2
444,1270.2
445,1270.2
446,1270.2
447,1270.2
448,1270.2
449,1270.2
450,1270.2
451,1270.2
452,1270.2
453,1270.2
454,1270.2
455,1269.8
456,1269.8
457,1269.8
458,1269.8
459,1269.8
460,1269.8
461,1269.8
462,1269.8
463,1269.8
464,1269.8
465,1269.8
466,1269.8
467,1269.8
468,1269.8
469,1269.8
470,1269.8
471,1269.8
472,1269.8
473,1269.8
474,1269.8
475,1269.8
476,1270
477,1270
478,1270
479,1270
480,1270
481,1270
482,1270
483,1270
484,1270
485,1270.2
486,1270.2
487,1270.2
488,1270.2
489,1270.2
490,1270.2
491,1270.2
492,1270.2
493,1270.2
494,1269.8
495,1270.2
496,1270.2
497,1270.2
498,1270.2
499,1270.2
500,1269.8
501,1269.8
502,1269.8
503,1269.8
504,1269.8
505,1269.8
506,1269.8
507,1270.4
508,1270.4
509,1270.4
510,1270.4
511,1270.4
512,1270.4
513,1270.4
514,1270.4
515,1269.8
516,1269.8
517,1269.8
518,1269.8
519,1269.8
520,1269.8
521,1269.8
522,1269.8
523,1269.8
524,1269.8
525,1269.8
526,1269.8
527,1269.8
528,1269.8
529,1269.8
530,1269.8
531,1269.8
532,1269.8
533,1269.8
534,1269.8
535,1269.8
536,1269.8
537,1269.8
538,1269.8
539,1269.8
540,1269.8
541,1269.8
542,1270
543,1270
544,1270
545,1270
546,1270
547,1270
548,1270
549,1270
550,1270
551,1270.2
552,1270.2
553,1270.2
554,1270.2
555,1270.4
556,1270.4
557,1270.4
558,1270.4
559,1270.4
560,1270.4
561,1270.4
562,1270.4
563,1270.4
564,1270.4
565,1270.4
566,1270.2
567,1270.2
568,1270.2
569,1270.2
570,1270.2
571,1270.2
572,1270.2
573,1270.2
574,1270.2
575,1270.2
576,1270.4
577,1270.4
578,1270.4
579,1270.4
580,1270.4
581,1270.4
582,1270.4
583,1270.4
584,1270.4
585,1270.4
586,1270.4
587,1270.4
588,1270
589,1270
590,1270
591,1270
592,1270
593,1270
594,1270
595,1270
596,1270
597,1270
598,1270
599,1270
600,1270
601,1270
602,1270.4
603,1270.4
604,1270.4
605,1270.4
606,1270.4
607,1270.4
608,1270.4
609,1270.4
610,1270.4
611,1270.4
612,1270.4
613,1270.4
614,1270.4
615,1270.4
616,1270.4
617,1270.4
618,1270.4
619,1270.4
620,1270.4
621,1270.4
622,1270.4
623,1270.4
624,1270.4
625,1270.4
626,1270.4
627,1270.4
628,1270.4
629,1270.4
630,1270.4
631,1270.4
632,1270.6
633,1270.6
634,1270.6
635,1270.6
636,1270.6
637,1270.6
638,1270.6
639,1270.6
640,1270.6
641,1270.6
642,1270.6
643,1270.6
644,1270.6
645,1270.6
646,1270.6
647,1270.2
648,1270.2
649,1270.2
650,1270.2
651,1270.2
652,1270.2
653,1270.2
654,1270.2
655,1270.2
656,1270.2
657,1270.2
658,1270.2
659,1270.2
660,1270.2
661,1270.2
662,1270.6
663,1270.6
664,1270.6
665,1270.6
666,1270.6
667,1270.6
668,1270.6
669,1270.6
670,1270.6
671,1270.6
672,1270.6
673,1270.6
674,1270.6
675,1270.6
676,1270.6
677,1270.6
678,1270.6
679,1270.6
680,1270.6
681,1270.6
682,1270.6
683,1270.6
684,1270.6
685,1270.6
686,1270.6
687,1270.6
688,1270.6
689,1270.6
690,1270.6
691,1270.6
692,1270.8
693,1270.8
694,1270.8
695,1270.4
