Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,83.040001,83.250000,82.739998,83.029999,79.725967,8760700
2017-12-12,82.889999,83.379997,82.699997,82.760002,79.466713,11307000
2017-12-13,82.610001,83.300003,82.480003,83.120003,79.812393,10172700
2017-12-14,83.029999,83.330002,82.889999,82.900002,79.601143,9492400
2017-12-15,83.160004,83.279999,82.870003,83.029999,79.725967,26582300
2017-12-18,83.180000,83.669998,82.910004,82.940002,79.639549,9363500
2017-12-19,83.029999,83.169998,82.330002,82.440002,79.159447,10285100
2017-12-20,82.599998,83.139999,82.519997,82.870003,79.572334,10620300
2017-12-21,83.349998,84.269997,82.959999,83.849998,80.513336,13578100
2017-12-22,83.879997,84.019997,83.599998,83.970001,80.628563,10065900
2017-12-26,83.959999,84.360001,83.900002,83.980003,80.638168,4777200
2017-12-27,83.989998,84.099998,83.739998,83.900002,80.561348,7000600
2017-12-28,83.980003,84.050003,83.800003,84.019997,80.676567,7495300
2017-12-29,84.000000,84.199997,83.639999,83.639999,80.311699,8463500
2018-01-02,83.820000,85.199997,83.660004,85.029999,81.646385,11469300
2018-01-03,85.160004,86.970001,84.820000,86.699997,83.249924,13957700
2018-01-04,86.790001,87.220001,86.430000,86.820000,83.365150,10863000
2018-01-05,86.750000,86.879997,85.709999,86.750000,83.297935,11047600
2018-01-08,86.699997,87.150002,86.599998,87.139999,83.672424,10927100
2018-01-09,86.940002,87.150002,86.650002,86.769997,83.317139,8131600
2018-01-10,87.000000,87.190002,85.980003,86.080002,82.654602,10822300
2018-01-11,86.360001,87.370003,85.930000,86.930000,83.470779,14366000
2018-01-12,87.199997,87.989998,87.180000,87.519997,84.037300,9804900
2018-01-16,87.739998,87.760002,86.599998,86.970001,83.509186,10882800
2018-01-17,87.199997,88.209999,86.930000,88.000000,84.498192,10546000
2018-01-18,87.769997,88.190002,87.339996,87.430000,83.950882,9223700
2018-01-19,87.570000,87.760002,86.610001,87.150002,83.682022,13090000
2018-01-22,87.169998,88.290001,87.050003,88.250000,84.738251,10270400
